Year,Screening Window,Grade,Subject,Median SGP
2023-2024,Fall-Winter,5,ELA,63
2023-2024,Fall-Winter,5,Math,35
2023-2024,Fall-Winter,6,ELA,60
2023-2024,Fall-Winter,6,Math,50
2023-2024,Fall-Winter,7,ELA,54
2023-2024,Fall-Winter,7,Math,63
2023-2024,Fall-Winter,8,ELA,48
2023-2024,Fall-Winter,8,Math,52
2023-2024,Fall-Winter,9,ELA,58
2023-2024,Fall-Winter,9,Math,64
2023-2024,Fall-Winter,10,ELA,56
2023-2024,Fall-Winter,10,Math,66
2024-2025,Fall-Winter,5,ELA,58
2024-2025,Fall-Winter,5,Math,59
2024-2025,Fall-Winter,6,ELA,55
2024-2025,Fall-Winter,6,Math,48
2024-2025,Fall-Winter,7,ELA,48
2024-2025,Fall-Winter,7,Math,65
2024-2025,Fall-Winter,8,ELA,43
2024-2025,Fall-Winter,8,Math,47
2024-2025,Fall-Winter,9,ELA,61
2024-2025,Fall-Winter,9,Math,53
2024-2025,Fall-Winter,10,ELA,52
2024-2025,Fall-Winter,10,Math,56